"日期","频道类型","频道名称","首页进入频道页UV","频道页内容点击UV","详情播放UV","播放超过5分钟UV","有效播放UV","首页进入→频道点击转化率","频道点击→详情播放转化率","详情播放→5分钟有效播放转化率","5分钟有效播放→有效播放转化率","数据来源","端口口径","设备口径"
"2026-08-04","精选","精选","519327","176830","176964","85143","85332","0.3405","0.3408","0.4811","0.1643","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","电影","电影","40260","15494","16150","3774","3813","0.3848","0.4011","0.2337","0.0947","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","美剧","美剧","35936","10693","11115","2521","2548","0.2976","0.3093","0.2268","0.0709","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","英剧","英剧","9473","2071","2103","388","399","0.2186","0.222","0.1845","0.0421","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","韩剧","韩剧","46015","19594","20357","6074","6137","0.4258","0.4424","0.2984","0.1334","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","日剧","日剧","17189","6083","6227","2171","2196","0.3539","0.3623","0.3486","0.1278","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","泰剧","泰剧","31467","20272","20261","8310","8386","0.6442","0.6439","0.4101","0.2665","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","国产剧","国产剧","144","2824","2796","391","413","19.6111","19.4167","0.1398","2.8681","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","动漫","动漫","15893","0","0","0","0","0.0","0.0","0.0","0.0","/skill/dramaConversion","全部端口","全部设备"
"2026-08-04","短视频","短视频","3","0","0","0","0","0.0","0.0","0.0","0.0","/skill/dramaConversion","全部端口","全部设备"
