"date","clienttype","position_id","banner_position","title","uv_expose_count","uv_click_count","vv_expose_count","vv_click_count","ctr_uv","ctr_pv"
"2026-08-12","and","日剧-banner","1","今夜、就算这份爱恋从世界上消失","21","0","22","0","0","0"
"2026-08-12","and","日剧-banner","1","别班 第二季","14987","304","32966","726","0.0203","0.022"
"2026-08-12","and","日剧-banner","1","想一个人死去","1","0","2","0","0","0"
"2026-08-12","and","日剧-banner","1","犯罪者","922","9","1075","10","0.0098","0.0093"
"2026-08-12","and","日剧-banner","1","请和我的老公结婚","5","0","5","0","0","0"
"2026-08-12","and","日剧-banner","10","度假法则","10718","221","11625","245","0.0206","0.0211"
"2026-08-12","and","日剧-banner","12","别班 第二季","14987","304","32966","726","0.0203","0.022"
"2026-08-12","and","日剧-banner","14","别班 第二季","14987","304","16483","363","0.0203","0.022"
"2026-08-12","and","日剧-banner","17","犯罪者","922","9","1075","10","0.0098","0.0093"
"2026-08-12","and","日剧-banner","18","犯罪者","922","9","1075","10","0.0098","0.0093"
"2026-08-12","and","日剧-banner","2","度假法则","10718","221","23250","490","0.0206","0.0211"
"2026-08-12","and","日剧-banner","2","我们由奇迹构成","4","0","4","0","0","0"
"2026-08-12","and","日剧-banner","2","新攻壳机动队","99","0","105","0","0","0"
"2026-08-12","and","日剧-banner","2","直到T恤干了为止","3006","67","3162","71","0.0223","0.0225"
"2026-08-12","and","日剧-banner","20","犯罪者","922","9","1075","10","0.0098","0.0093"
"2026-08-12","and","日剧-banner","22","直到T恤干了为止","3006","67","3162","71","0.0223","0.0225"
"2026-08-12","and","日剧-banner","23","直到T恤干了为止","3006","67","6324","142","0.0223","0.0225"
"2026-08-12","and","日剧-banner","3","不良一族寻爱记 第二季","5163","97","10926","210","0.0188","0.0192"
"2026-08-12","and","日剧-banner","3","你的喜欢无与伦比","160","1","173","1","0.0063","0.0058"
"2026-08-12","and","日剧-banner","3","想一个人死去","1","0","5","0","0","0"
"2026-08-12","and","日剧-banner","3","我的危险妻子","3","0","3","0","0","0"
"2026-08-12","and","日剧-banner","4","二十世纪电气目录","1","0","1","0","0","0"
"2026-08-12","and","日剧-banner","4","告白：第25年的秘密","129","4","138","4","0.031","0.029"
"2026-08-12","and","日剧-banner","4","女神探夏洛克","3","0","3","0","0","0"
"2026-08-12","and","日剧-banner","4","直到T恤干了为止","3006","67","6324","142","0.0223","0.0225"
"2026-08-12","and","日剧-banner","5","今夜、就算这份爱恋从世界上消失","21","0","22","0","0","0"
"2026-08-12","and","日剧-banner","5","气体人","112","1","120","1","0.0089","0.0083"
"2026-08-12","and","日剧-banner","5","麻辣教师 第二季","3524","66","7372","142","0.0187","0.0193"
"2026-08-12","and","日剧-banner","5","黄昏的清兵卫","2","0","2","0","0","0"
"2026-08-12","and","日剧-banner","6","ALIUS - 特定事件调查档案","3076","94","6402","220","0.0306","0.0344"
"2026-08-12","and","日剧-banner","6","宽松世代又如何SP：纯米吟酿纯情篇","2","0","2","0","0","0"
"2026-08-12","and","日剧-banner","6","新攻壳机动队","99","0","105","0","0","0"
"2026-08-12","and","日剧-banner","7","一次元的扦插","4","1","5","1","0.25","0.2"
"2026-08-12","and","日剧-banner","9","度假法则","10718","221","23250","490","0.0206","0.0211"
"2026-08-12","and","泰剧-banner","1","四方极爱2：西方篇 番外","27295","2545","67100","6062","0.0932","0.0903"
"2026-08-12","and","泰剧-banner","1","我们的排练","12054","785","13633","916","0.0651","0.0672"
"2026-08-12","and","泰剧-banner","1","萨瓦迪卡—泰境奇缘","1","0","4","0","0","0"
"2026-08-12","and","泰剧-banner","15","隐欲囚笼","2","0","4","0","0","0"
"2026-08-12","and","泰剧-banner","17","隐欲囚笼","2","0","2","0","0","0"
"2026-08-12","and","泰剧-banner","2","萨瓦迪卡—泰境奇缘","1","0","4","0","0","0"
"2026-08-12","and","泰剧-banner","2","解垢","93","0","101","0","0","0"
"2026-08-12","and","泰剧-banner","2","阳角群体里的芹泽在我面前不太对劲","31124","1922","78202","4314","0.0618","0.0552"
"2026-08-12","and","泰剧-banner","3","心动禁止","86","2","92","3","0.0233","0.0326"
"2026-08-12","and","泰剧-banner","3","指尖浪漫 第二季","24526","928","58166","2116","0.0378","0.0364"
"2026-08-12","and","泰剧-banner","3","曼波奇缘","2","0","3","0","0","0"
"2026-08-12","and","泰剧-banner","4","天赐仇爱","1","0","2","0","0","0"
"2026-08-12","and","泰剧-banner","4","我们的排练","12054","785","27266","1832","0.0651","0.0672"
"2026-08-12","and","泰剧-banner","4","绘梦婚礼","80","0","84","0","0","0"
"2026-08-12","and","泰剧-banner","5","初恋这件小事","1","0","1","0","0","0"
"2026-08-12","and","泰剧-banner","5","地平线边缘","73","0","77","0","0","0"
"2026-08-12","and","泰剧-banner","5","嫁入高门的男人","9922","618","22156","1368","0.0623","0.0617"
"2026-08-12","and","泰剧-banner","6","冬荫功2：拳霸天下","1","0","1","0","0","0"
"2026-08-12","and","泰剧-banner","6","恋爱开运点","8476","558","18762","1216","0.0658","0.0648"
"2026-08-12","and","泰剧-banner","6","爱冲云霄","70","1","73","1","0.0143","0.0137"
"2026-08-12","and","泰剧-banner","7","换座位后发现身后的男生好像喜欢我","2560","176","5326","386","0.0688","0.0725"
"2026-08-12","and","电影-banner","1","暴力苏醒","5290","43","7818","47","0.0081","0.006"
"2026-08-12","and","电影-banner","1","最后孤屋","43229","946","99884","2098","0.0219","0.021"
"2026-08-12","and","电影-banner","10","你的错误：伦敦版","49","0","49","0","0","0"
"2026-08-12","and","电影-banner","13","你的错误：伦敦版","49","0","49","0","0","0"
"2026-08-12","and","电影-banner","14","你的错误：伦敦版","49","0","49","0","0","0"
"2026-08-12","and","电影-banner","14","灵魂伴侣","18727","570","20203","619","0.0304","0.0306"
"2026-08-12","and","电影-banner","18","灵魂伴侣","18727","570","40406","1238","0.0304","0.0306"
"2026-08-12","and","电影-banner","2","七宗罪","1","0","1","0","0","0"
"2026-08-12","and","电影-banner","2","法外之徒","439","13","471","15","0.0296","0.0318"
