date,available_play_count,available_play_rate,new_device_play_rate
2026-08-04,486808,0.4437,0.6624
2026-08-03,521668,0.4549,0.662
2026-08-02,658814,0.5018,0.7262
2026-08-01,657542,0.4961,0.7182
2026-07-31,621720,0.4901,0.6965
2026-07-30,520862,0.4551,0.6825
2026-07-29,548549,0.4717,0.674
2026-07-28,534332,0.4482,0.6784
2026-07-27,564757,0.4646,0.6711
2026-07-26,751894,0.5231,0.6895
2026-07-25,722639,0.5192,0.7019
2026-07-24,737051,0.5273,0.7076
2026-07-23,607445,0.4633,0.6941
2026-07-22,592876,0.4713,0.7004
2026-07-21,585336,0.4683,0.708
2026-07-20,642525,0.4837,0.7112
2026-07-19,833290,0.5375,0.7259
2026-07-18,766031,0.5217,0.7333
2026-07-17,707652,0.4986,0.7399
2026-07-16,638798,0.4868,0.7322
2026-07-15,526180,0.438,0.6933
2026-07-14,527900,0.4404,0.6978
2026-07-13,571931,0.4528,0.6704
2026-07-12,736162,0.5035,0.6677
2026-07-11,737064,0.5048,0.717
2026-07-10,648578,0.4797,0.7407
2026-07-09,622317,0.4708,0.7124
2026-07-08,736191,0.5108,0.7337
2026-07-07,603465,0.4598,0.7149
2026-07-06,640302,0.4713,0.7354
2026-07-05,800634,0.5149,0.7554
