avg_video_time,content_click_uv,content_click_uv_rate,date,detail_after_ad_play_start_uv,detail_play_10_mins_uv,detail_play_10_mins_uv_rate,detail_play_5_mins_uv,detail_play_5_mins_uv_rate,detail_play_start_uv,detail_play_uv,detail_play_uv_rate,favo_uv,first_frame_play_uv_rate,play_5_mins_uv_rate,tab_click_uv,video_uv,video_uv_rate
48.134445,260246,0.3296,2026-07-05,229238,125372,0.4803,136267,0.522,238840,261051,0.3307,199,0.2904,0.1726,789480,136399,0.1728
48.025807,209409,0.3186,2026-07-06,187939,94950,0.4521,104113,0.4958,194340,210011,0.3196,130,0.286,0.1584,657177,104206,0.1586
49.966854,201316,0.3145,2026-07-07,181985,90163,0.446,99056,0.49,187604,202169,0.3159,124,0.2843,0.1548,640018,99150,0.1549
44.208422,239444,0.3241,2026-07-08,215061,112733,0.469,124177,0.5167,222142,240348,0.3253,143,0.2911,0.1681,738741,124274,0.1682
44.952317,211521,0.3236,2026-07-09,191706,92186,0.4341,102264,0.4816,197608,212360,0.3249,157,0.2933,0.1564,653717,102388,0.1566
41.541246,234306,0.3393,2026-07-10,207422,98614,0.4199,108984,0.464,216315,234856,0.3401,144,0.3003,0.1578,690644,109093,0.158
42.927084,267494,0.3561,2026-07-11,232851,122013,0.4548,133686,0.4983,245225,268283,0.3572,187,0.31,0.178,751127,133822,0.1782
48.075275,257327,0.352,2026-07-12,224747,124522,0.4818,135533,0.5244,236024,258453,0.3536,148,0.3074,0.1854,731006,135642,0.1856
48.878822,202721,0.3333,2026-07-13,182069,91566,0.4498,100503,0.4937,188663,203587,0.3348,160,0.2994,0.1653,608150,100633,0.1655
49.261571,190992,0.3295,2026-07-14,172590,84534,0.4411,93250,0.4866,178327,191653,0.3307,151,0.2978,0.1609,579579,93370,0.1611
45.822997,188339,0.323,2026-07-15,167789,79442,0.42,87446,0.4623,173814,189167,0.3245,134,0.2878,0.15,583023,87545,0.1502
39.96531,236270,0.354,2026-07-16,213481,103156,0.4358,115135,0.4864,220171,236726,0.3547,259,0.3199,0.1725,667406,115318,0.1728
35.99131,271411,0.3661,2026-07-17,241463,110146,0.405,123942,0.4557,251583,271989,0.3669,380,0.3257,0.1672,741310,124199,0.1675
39.037593,289693,0.3768,2026-07-18,254953,128717,0.4432,141670,0.4878,267392,290397,0.3777,353,0.3316,0.1842,768908,141908,0.1846
43.856128,282590,0.3458,2026-07-19,246511,128952,0.4547,141970,0.5006,258139,283593,0.347,426,0.3017,0.1737,817158,142238,0.1741
44.913964,222029,0.3383,2026-07-20,200619,96783,0.434,107423,0.4817,207376,222998,0.3398,314,0.3057,0.1637,656345,107640,0.164
46.109404,211708,0.3438,2026-07-21,192798,90815,0.4271,100503,0.4727,198509,212620,0.3453,324,0.3131,0.1632,615786,100726,0.1636
45.337707,216667,0.3464,2026-07-22,195525,91892,0.4226,101766,0.468,201984,217433,0.3476,320,0.3126,0.1627,625559,101988,0.163
41.037384,238486,0.3574,2026-07-23,215622,94190,0.3946,104854,0.4392,222295,238723,0.3577,343,0.3231,0.1571,667347,105097,0.1575
40.038224,269614,0.3729,2026-07-24,239318,124379,0.4609,136505,0.5058,249325,269862,0.3733,335,0.331,0.1888,722948,136723,0.1891
41.286937,272306,0.3762,2026-07-25,235867,123321,0.4542,134677,0.4961,248276,271488,0.375,325,0.3258,0.186,723884,134895,0.1863
45.436171,268790,0.3654,2026-07-26,229944,126062,0.4692,138168,0.5142,241189,268693,0.3653,294,0.3126,0.1878,735629,138350,0.1881
46.163719,205652,0.3541,2026-07-27,183355,90773,0.4407,100265,0.4867,189945,205991,0.3547,311,0.3157,0.1726,580819,100486,0.173
47.896475,198067,0.3526,2026-07-28,178808,87073,0.4387,95923,0.4832,184456,198502,0.3534,288,0.3183,0.1708,561741,96119,0.1711
47.634098,198164,0.3492,2026-07-29,177113,87371,0.4402,96175,0.4846,183305,198471,0.3498,260,0.3121,0.1695,567408,96348,0.1698
47.48897,191889,0.3476,2026-07-30,172779,82535,0.4294,91296,0.475,178412,192215,0.3482,257,0.313,0.1654,551970,91470,0.1657
41.833301,231058,0.356,2026-07-31,200411,98929,0.4291,108346,0.4699,210651,230562,0.3553,245,0.3088,0.1669,648989,108511,0.1672
42.100342,234933,0.3464,2026-08-01,206230,101809,0.4333,111843,0.476,215641,234959,0.3465,290,0.3041,0.1649,678161,112045,0.1652
47.554666,229866,0.3447,2026-08-02,197726,104032,0.4525,113158,0.4922,207049,229910,0.3447,311,0.2965,0.1697,666893,113394,0.17
48.587708,187269,0.344,2026-08-03,166971,82559,0.4405,90474,0.4827,172891,187426,0.3443,268,0.3067,0.1662,544349,90644,0.1665
49.751809,176830,0.3405,2026-08-04,159248,77748,0.4393,85143,0.4811,164267,176964,0.3408,281,0.3066,0.1639,519327,85332,0.1643
