date,client_name,season_name,season_type,play_uv,play_vv,play_ratio_percent,date_client_total_play_uv,date_client_total_play_vv,source
2026-08-01,安卓,泰剧,TH,1376339,4621089,66.0936,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,韩剧,KR,390204,1005748,14.3848,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,美剧,USK,219349,617691,8.8346,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,电影,movie,151380,213039,3.047,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,日剧,JP,86739,194447,2.7811,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,短剧,短剧,52558,139951,2.0017,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,国产,CHN,32408,91437,1.3078,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,其他,OTHER,25391,55248,0.7902,2359198,6991739,seasonTypePlayRatio
2026-08-01,安卓,英剧,UK,24830,53089,0.7593,2359198,6991739,seasonTypePlayRatio
2026-08-01,iOS,泰剧,TH,136933,460809,42.4379,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,电影,movie,28312,218240,20.0987,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,韩剧,KR,70940,191706,17.655,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,美剧,USK,43195,127486,11.7407,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,日剧,JP,12136,36299,3.3429,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,国产,CHN,5605,16891,1.5556,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,英剧,UK,4984,12686,1.1683,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,其他,OTHER,5088,10886,1.0025,311847,1085844,seasonTypePlayRatio
2026-08-01,iOS,短剧,短剧,4654,10841,0.9984,311847,1085844,seasonTypePlayRatio
2026-08-01,M站,美剧,USK,39573,114690,29.4374,139940,389607,seasonTypePlayRatio
2026-08-01,M站,泰剧,TH,27606,105012,26.9533,139940,389607,seasonTypePlayRatio
2026-08-01,M站,韩剧,KR,31793,87369,22.4249,139940,389607,seasonTypePlayRatio
2026-08-01,M站,电影,movie,16973,27782,7.1308,139940,389607,seasonTypePlayRatio
2026-08-01,M站,日剧,JP,7752,16676,4.2802,139940,389607,seasonTypePlayRatio
2026-08-01,M站,英剧,UK,6040,13542,3.4758,139940,389607,seasonTypePlayRatio
2026-08-01,M站,其他,OTHER,5440,11743,3.0141,139940,389607,seasonTypePlayRatio
2026-08-01,M站,国产,CHN,3255,8554,2.1955,139940,389607,seasonTypePlayRatio
2026-08-01,M站,短剧,短剧,1508,4239,1.088,139940,389607,seasonTypePlayRatio
2026-08-02,安卓,泰剧,TH,1191382,3950409,62.1008,2182483,6361288,seasonTypePlayRatio
2026-08-02,安卓,韩剧,KR,385094,1009174,15.8643,2182483,6361288,seasonTypePlayRatio
2026-08-02,安卓,美剧,USK,229740,646038,10.1558,2182483,6361288,seasonTypePlayRatio
2026-08-02,安卓,电影,movie,154416,218941,3.4418,2182483,6361288,seasonTypePlayRatio
